"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"1","1","29th medical team to Mauritania to assist local doctors","","start-actual","","end-actual","Unspecified Chinese Government Institution, Government Agency","CHN","Mauritania","MRT","120","Health","","","Completion","2010","2010","",""
"3","1","China issues 2 billion yuan loan to fund Port of Friendship expansion project in Mauritania","2009-09-25","start-actual","","end-actual","Export-Import Bank of China, Government Agency","CHN","Mauritania","MRT","210","Transport and Storage","","","Implementation","2008","2008","396886331.0",""
"6","1","China grants $600,000 USD in food aid for flood victims","2001-05-17","start-actual","2001-05-17","end-actual","Unspecified Chinese Government Institution, Government Agency","CHN","Angola","AGO","700","Emergency Response","","","Completion","2001","2001","1364094.0",""
"13","1","Computers and Sewing Machines","","start-actual","","end-actual","Unspecified Chinese Government Institution, Government Agency","CHN","Angola","AGO","150","Government and Civil Society","","","Completion","2001","2001","",""
"20","1","ICBC and European financial institution fund $32 million telecommunications construction and supply project","","start-actual","","end-actual","Industrial and Commercial Bank of China (ICBC), State-Owned Company","CHN","Algeria","DZA","220","Communications","","","Completion","2003","2003","",""
"21","1","China loans 117 million BWP for medium and low cost houses","","start-actual","","end-actual","Unspecified Chinese Government Institution, Government Agency","CHN","Botswana","BWA","160","Other Social infrastructure and services","","","Implementation","2004","2004","51378371.0",""
"23","1","China Finances Multi-Purpose Youth Centre","2009-10-08","start-actual","","end-actual","Unspecified Chinese Government Institution, Government Agency","CHN","Botswana","BWA","160","Other Social infrastructure and services","","","Completion","2004","2004","19577544.0",""
"24","1","China provides debt relief to Benin during tour","","start-actual","","end-actual","Unspecified Chinese Government Institution, Government Agency","CHN","Benin","BEN","600","Action Relating to Debt","","","Completion","2006","2006","",""
"29","1","11th Chinese Medical Team","","start-actual","","end-actual","Unspecified Chinese Government Institution, Government Agency","CHN","Botswana","BWA","120","Health","","","Completion","2005","2005","",""
"31","1","Eximbank loan for housing project","2006-01-26","start-actual","","end-actual","Export-Import Bank of China, Government Agency","CHN","Botswana","BWA","160","Other Social infrastructure and services","","","Implementation","2006","2006","17333397.0",""
"32","1","China trains 92 people from Benin","","start-actual","","end-actual","Unspecified Chinese Government Institution, Government Agency","CHN","Benin","BEN","110","Education","","","Completion","2005","2005","",""
"33","1","China provides improved technology to Botswana Democratic Party ","","start-actual","","end-actual","Unspecified Chinese Government Institution, Government Agency","CHN","Botswana","BWA","110","Education","","","Completion","2006","2006","220729.0",""
"38","1","Construction Primary Schools","","start-actual","2009-06-08","end-actual","Unspecified Chinese Government Institution, Government Agency","CHN","Botswana","BWA","110","Education","","","Completion","2007","2007","2139369.0",""
"39","1","China sends 3 agricultural experts","","start-actual","","end-actual","Unspecified Chinese Government Institution, Government Agency","CHN","Botswana","BWA","310","Agriculture, Forestry and Fishing","","","Completion","2009","2009","",""
